Soft17Hit: false	Surrender: false	DoubleAfterSplit: false	
Win: 1.000000	Tie: 0.000000	Lose: -1.000000	BlackJack: 1.500000	
A: 4	2: 4	3: 4	4: 4	5: 4	6: 4	7: 4	8: 4	9: 4	T: 16	
Dealer: 8	Player1st: 6 	Player2nd: 8	Stand: -0.542601	Hit: -0.369092	Double: -0.774545	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.369092	Time: 0.194
Dealer: 8	Player1st: 6 	Player2nd: 7	Stand: -0.538333	Hit: -0.394373	Double: -0.842908	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.394373	Time: 0.363
Dealer: 8	Player1st: 6 	Player2nd: 6	Stand: -0.535771	Hit: -0.321707	Double: -0.711354	Split: -0.412582	WhattoDo: Hit   	ExpectedValue: -0.321707	Time: 167.869
Dealer: 8	Player1st: 5 	Player2nd: T	Stand: -0.524234	Hit: -0.417965	Double: -0.844148	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.417965	Time: 0.104
Dealer: 8	Player1st: 5 	Player2nd: 9	Stand: -0.520326	Hit: -0.370139	Double: -0.761928	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.370139	Time: 0.19
Dealer: 8	Player1st: 5 	Player2nd: 8	Stand: -0.541529	Hit: -0.386852	Double: -0.829134	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.386852	Time: 0.347
Dealer: 8	Player1st: 5 	Player2nd: 7	Stand: -0.535706	Hit: -0.320983	Double: -0.711203	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.320983	Time: 0.637
Dealer: 8	Player1st: 5 	Player2nd: 6	Stand: -0.533297	Hit: 0.229714	Double: 0.365672	Split: undefined	WhattoDo: Double	ExpectedValue: 0.365672	Time: 1.246
Dealer: 8	Player1st: 5 	Player2nd: 5	Stand: -0.530853	Hit: 0.207838	Double: 0.322885	Split: -0.447577	WhattoDo: Double	ExpectedValue: 0.322885	Time: 283.408
Dealer: 8	Player1st: 4 	Player2nd: T	Stand: -0.52385	Hit: -0.35737	Double: -0.739262	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.35737	Time: 0.195
Dealer: 8	Player1st: 4 	Player2nd: 9	Stand: -0.520792	Hit: -0.338911	Double: -0.72411	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.338911	Time: 0.361
Dealer: 8	Player1st: 4 	Player2nd: 8	Stand: -0.541217	Hit: -0.319226	Double: -0.719327	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.319226	Time: 0.65
Dealer: 8	Player1st: 4 	Player2nd: 7	Stand: -0.535471	Hit: 0.221712	Double: 0.340213	Split: undefined	WhattoDo: Double	ExpectedValue: 0.340213	Time: 1.179
Dealer: 8	Player1st: 4 	Player2nd: 6	Stand: -0.533077	Hit: 0.207506	Double: 0.317153	Split: undefined	WhattoDo: Double	ExpectedValue: 0.317153	Time: 1.301
Dealer: 8	Player1st: 4 	Player2nd: 5	Stand: -0.530618	Hit: 0.108485	Double: 0.120033	Split: undefined	WhattoDo: Double	ExpectedValue: 0.120033	Time: 3.535
