Soft17Hit:false	Surrender:false	DoubleAfterSplit:false	
Win:1.000000	Tie:0.000000	Lose:-1.000000	BlackJack:1.500000	
A:4	2:4	3:4	4:4	5:4	6:4	7:4	8:4	9:4	T:16	
Player:6 T 	Dealer:4	Stand:-0.193442	Hit:0.0416812	Double:0.0671167	Split:undefined	WhattoDo:Double	ExpectedValue:0.0671167
Player:6 T 	Dealer:3	Stand:-0.249876	Hit:0.00138145	Double:-0.0124438	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.00138145
Player:6 T 	Dealer:2	Stand:-0.297664	Hit:-0.0300683	Double:-0.0763164	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0300683
Player:6 T 	Dealer:A	Stand:-0.759161	Hit:-0.476953	Double:-0.971823	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.476953
Player:6 9 	Dealer:T	Stand:-0.576861	Hit:-0.283267	Double:-0.640975	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.283267
Player:6 9 	Dealer:9	Stand:-0.535541	Hit:-0.193387	Double:-0.473221	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.193387
Player:6 9 	Dealer:8	Stand:-0.523099	Hit:-0.123557	Double:-0.350897	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.123557
Player:6 9 	Dealer:7	Stand:-0.502845	Hit:-0.0761932	Double:-0.22058	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0761932
Player:6 9 	Dealer:6	Stand:-0.176503	Hit:0.0825235	Double:0.088708	Split:undefined	WhattoDo:Double	ExpectedValue:0.088708
Player:6 9 	Dealer:5	Stand:-0.136855	Hit:0.10533	Double:0.129661	Split:undefined	WhattoDo:Double	ExpectedValue:0.129661
Player:6 9 	Dealer:4	Stand:-0.188622	Hit:0.0498006	Double:0.0407234	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0498006
Player:6 9 	Dealer:3	Stand:-0.245987	Hit:0.00539605	Double:-0.0442547	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.00539605
Player:6 9 	Dealer:2	Stand:-0.273299	Hit:-0.00691603	Double:-0.0681185	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.00691603
Player:6 9 	Dealer:A	Stand:-0.755402	Hit:-0.483404	Double:-1.02289	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.483404
Player:6 8 	Dealer:T	Stand:-0.57317	Hit:-0.253175	Double:-0.624772	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.253175
Player:6 8 	Dealer:9	Stand:-0.531614	Hit:-0.161057	Double:-0.464885	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.161057
Player:6 8 	Dealer:8	Stand:-0.542601	Hit:-0.0968989	Double:-0.362863	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0968989
Player:6 8 	Dealer:7	Stand:-0.498604	Hit:-0.0652301	Double:-0.266076	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0652301
Player:6 8 	Dealer:6	Stand:-0.172288	Hit:0.11802	Double:0.1149	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.11802
Player:6 8 	Dealer:5	Stand:-0.133747	Hit:0.142642	Double:0.162501	Split:undefined	WhattoDo:Double	ExpectedValue:0.162501
Player:6 8 	Dealer:4	Stand:-0.184078	Hit:0.0858421	Double:0.0740621	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0858421
Player:6 8 	Dealer:3	Stand:-0.22021	Hit:0.0581994	Double:0.0237877	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0581994
Player:6 8 	Dealer:2	Stand:-0.2678	Hit:0.019707	Double:-0.0486047	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.019707
Player:6 8 	Dealer:A	Stand:-0.75111	Hit:-0.452351	Double:-1.00175	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.452351
Player:6 7 	Dealer:T	Stand:-0.569243	Hit:-0.241975	Double:-0.648983	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.241975
Player:6 7 	Dealer:9	Stand:-0.551096	Hit:-0.160218	Double:-0.519899	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.160218
Player:6 7 	Dealer:8	Stand:-0.538333	Hit:-0.114728	Double:-0.463772	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.114728
Player:6 7 	Dealer:7	Stand:-0.49762	Hit:-0.0519398	Double:-0.304598	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0519398
Player:6 7 	Dealer:6	Stand:-0.169692	Hit:0.132609	Double:0.102355	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.132609
